BOOK ID,TITLE OF BOOK,PUBLISHED YEAR,Text
1342,Pride and Prejudice,1813,It is a truth universally acknowledged... It is a truth universally acknowledged... It is a truth universally acknowledged... It is a truth universally acknowledged... It is a truth universally acknowledged... It is a truth universally acknowledged... It is a truth universally acknowledged... It is a truth universally acknowledged... It is a truth universally acknowledged... It is a truth universally acknowledged... It is a truth universally acknowledged... It is a truth universally acknowledged... It is a truth universally acknowledged... It is a truth universally acknowledged... It is a truth universally acknowledged... It is a truth universally acknowledged... It is a truth
11,Alice's Adventures in Wonderland,1865,The studio was filled with the rich odor... The studio was filled with the rich odor... The studio was filled with the rich odor... The studio was filled with the rich odor... The studio was filled with the rich odor... The studio was filled with the rich odor... The studio was filled with the rich odor... The studio was filled with the rich odor... The studio was filled with the rich odor... The studio was filled with the rich odor... The studio was filled with the rich odor... The studio was filled with the rich odor... The studio was filled
1661,The Adventures of Sherlock Holmes,1892,Call me Ishmael. Some years ago... Call me Ishmael. Some years ago... Call me Ishmael. Some years ago... Call me Ishmael. Some years ago... Call me Ishmael. Some years ago... Call me Ishmael. Some years ago... Call me Ishmael. Some years ago... Call me Ishmael. Some years ago... Call me Ishmael. Some years ago... Call me Ishmael. Some years ago... Call me Ishmael. Some years ago... Call me Ishmael. Some years ago... Call me Ishmael. Some years ago... Call me Ishmael. Some years ago... Call me Ishmael. Some years ago... Call me Ishmael. Some years ago... Call me Ishmael. Some
2701,"Moby Dick; Or, The Whale",1851,You will rejoice to hear that no disaster... You will rejoice to hear that no disaster... You will rejoice to hear that no disaster... You will rejoice to hear that no disaster... You will rejoice to hear that no disaster... You will rejoice to hear that no disaster... You will rejoice to hear that no disaster... You will rejoice to hear that no disaster... You will rejoice to hear that no disaster... You will rejoice to hear that no disaster... You will rejoice to hear that no disaster... You will rejoice to hear that no disaster... You will rejoice to
84,"Frankenstein; Or, The Modern Prometheus",1818,You will rejoice to hear that no disaster... You will rejoice to hear that no disaster... You will rejoice to hear that no disaster... You will rejoice to hear that no disaster... You will rejoice to hear that no disaster... You will rejoice to hear that no disaster... You will rejoice to hear that no disaster... You will rejoice to hear that no disaster... You will rejoice to hear that no disaster... You will rejoice to hear that no disaster... You will rejoice to hear that no disaster... You will rejoice to hear that no disaster... You will rejoice to
98,A Tale of Two Cities,1859,It is a truth universally acknowledged... It is a truth universally acknowledged... It is a truth universally acknowledged... It is a truth universally acknowledged... It is a truth universally acknowledged... It is a truth universally acknowledged... It is a truth universally acknowledged... It is a truth universally acknowledged... It is a truth universally acknowledged... It is a truth universally acknowledged... It is a truth universally acknowledged... It is a truth universally acknowledged... It is a truth universally acknowledged... It is a truth universally acknowledged... It is a truth universally acknowledged... It is a truth universally acknowledged... It is a truth
2542,A Doll's House,1879,Call me Ishmael. Some years ago... Call me Ishmael. Some years ago... Call me Ishmael. Some years ago... Call me Ishmael. Some years ago... Call me Ishmael. Some years ago... Call me Ishmael. Some years ago... Call me Ishmael. Some years ago... Call me Ishmael. Some years ago... Call me Ishmael. Some years ago... Call me Ishmael. Some years ago... Call me Ishmael. Some years ago... Call me Ishmael. Some years ago... Call me Ishmael. Some years ago... Call me Ishmael. Some years ago... Call me Ishmael. Some years ago... Call me Ishmael. Some years ago... Call me Ishmael. Some
1080,A Modest Proposal,1729,"I am glad you found your way in here, for I am sure... I am glad you found your way in here, for I am sure... I am glad you found your way in here, for I am sure... I am glad you found your way in here, for I am sure... I am glad you found your way in here, for I am sure... I am glad you found your way in here, for I am sure... I am glad you found your way in here, for I am sure... I am glad you found your way in here,"
76,Adventures of Huckleberry Finn,1884,"It was the best of times, it was the worst... It was the best of times, it was the worst... It was the best of times, it was the worst... It was the best of times, it was the worst... It was the best of times, it was the worst... It was the best of times, it was the worst... It was the best of times, it was the worst... It was the best of times, it was the worst... It was the best of times, it was the worst... It was the best of times, it was the worst..."
74,The Adventures of Tom Sawyer,1876,My father’s family name being Pirrip... My father’s family name being Pirrip... My father’s family name being Pirrip... My father’s family name being Pirrip... My father’s family name being Pirrip... My father’s family name being Pirrip... My father’s family name being Pirrip... My father’s family name being Pirrip... My father’s family name being Pirrip... My father’s family name being Pirrip... My father’s family name being Pirrip... My father’s family name being Pirrip... My father’s family name being Pirrip... My father’s family name being Pirrip... My father’s family name being Pirrip... My father’s family name being Pirrip... My father’s family name
